RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
2287,2019_04_09 18:28:23,2.1575,-5.9232,8.2768,32.05,33.13,0.244,600,780
2293,2019_04_10 10:11:02,1.6867,-1.0591,8.7868,32.83,32.67,7.178,750,930
2294,2019_04_10 10:11:05,2.3928,-2.7459,8.5122,32.81,32.71,6.738,660,960
2295,2019_04_10 10:11:06,2.2359,-0.3138,7.2961,32.81,32.69,7.324,720,900
2296,2019_04_10 10:11:07,2.3144,-4.0011,8.5514,32.81,32.75,6.592,660,930
2297,2019_04_10 10:11:08,0.2746,2.0398,8.0807,32.83,32.77,6.494,720,930
2298,2019_04_10 10:11:09,5.0995,-0.3138,7.6884,32.83,32.77,6.885,660,900
2299,2019_04_10 10:11:10,1.5298,-0.3138,8.0022,32.83,32.77,6.787,720,960
2300,2019_04_10 10:11:11,0.0392,-1.0199,8.0807,32.87,32.77,7.227,660,900
2301,2019_04_10 10:11:12,1.0591,-0.7453,8.4337,32.83,32.77,7.324,720,960
2302,2019_04_10 10:11:13,-0.4315,-4.4718,8.3945,32.81,32.77,7.324,660,900
2303,2019_04_10 10:11:14,3.4127,-2.3536,8.2768,32.83,32.77,6.641,720,900
2304,2019_04_10 10:11:15,2.6674,-0.9807,6.6685,32.85,32.77,7.129,660,960
2305,2019_04_10 10:11:16,1.1376,-3.805,7.7276,32.85,32.75,6.348,720,900
2306,2019_04_10 10:11:17,3.1774,-1.5298,9.2183,32.83,32.83,6.738,660,960
2307,2019_04_10 10:11:18,0.0785,-1.9221,7.8845,32.81,32.81,7.08,660,900
2308,2019_04_10 10:11:19,-7.2177,-9.3359,9.3752,32.85,32.83,6.592,720,900
2309,2019_04_10 10:11:20,2.4713,-1.5691,7.9238,32.83,32.83,6.494,660,960
2310,2019_04_10 10:11:21,2.1967,-3.0597,7.7276,32.85,32.83,6.348,720,900
2311,2019_04_10 10:11:22,-1.8829,-2.1575,8.1199,32.85,32.83,6.982,660,900
2312,2019_04_10 10:11:23,1.2553,-2.0006,7.8453,32.83,32.83,7.324,690,930
2313,2019_04_10 10:11:24,0.7845,1.8437,6.4332,32.85,32.89,6.787,690,930
2314,2019_04_10 10:11:25,2.4713,-0.0392,7.7669,32.85,32.91,6.445,660,900
2315,2019_04_10 10:11:26,3.1381,-0.3138,8.5122,32.83,32.81,6.396,720,900
2316,2019_04_10 10:11:27,-0.1177,-0.5492,7.2177,32.85,32.83,7.324,660,960
2317,2019_04_10 10:11:28,0.4315,-1.216,7.963,32.85,32.89,6.836,660,900
2318,2019_04_10 10:11:29,2.5105,0.1177,8.1199,32.83,32.89,7.08,720,900
2319,2019_04_10 10:11:30,0.9807,-1.216,7.61,32.85,32.83,6.836,660,900
2320,2019_04_10 10:11:31,-1.6475,-1.2945,7.8061,32.85,32.89,6.738,660,900
2321,2019_04_10 10:11:32,2.4713,-0.7453,8.2376,32.85,32.91,6.641,720,900
