RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
4653,2019_04_10 18:15:57,-1.1376,-0.9022,7.963,32.13,31.99,7.275,540,720
4654,2019_04_10 18:15:58,3.4519,-2.0398,8.4337,32.11,32.09,7.52,540,720
4655,2019_04_10 18:15:59,4.8641,-1.9613,9.3752,32.11,32.05,7.813,540,720
4656,2019_04_10 18:16:00,0.8238,0.2354,7.8845,32.13,32.03,8.008,540,720
4657,2019_04_10 18:16:01,-1.0983,-2.5105,7.8453,32.11,31.97,7.764,540,720
4658,2019_04_10 18:16:02,-2.3144,-3.5696,6.8254,32.15,32.03,7.227,540,720
4659,2019_04_10 18:16:03,1.2553,-2.9812,7.8845,32.09,32.03,7.52,480,720
4660,2019_04_10 18:16:04,2.3144,-0.6276,8.9437,32.11,32.03,7.617,540,660
4661,2019_04_10 18:16:05,-0.3923,-2.2359,7.6492,32.11,31.99,7.129,540,720
4662,2019_04_10 18:16:06,1.6083,-2.079,8.0022,32.13,32.03,7.959,540,720
4663,2019_04_10 18:16:07,1.1768,-2.0398,7.6884,32.09,31.99,8.545,480,720
4664,2019_04_10 18:16:08,0.5099,0.0392,7.61,32.09,31.99,7.715,540,660
4665,2019_04_10 18:16:09,3.4912,-2.1575,7.9238,32.13,32.03,7.471,540,720
4666,2019_04_10 18:16:10,-1.5691,-1.1768,7.3354,32.09,31.99,7.324,480,720
4667,2019_04_10 18:16:11,1.4514,0.1569,7.7276,32.13,32.05,8.105,540,660
4668,2019_04_10 18:16:12,3.1381,1.2945,8.316,32.13,32.03,8.35,540,720
4669,2019_04_10 18:16:13,1.9221,-1.4906,7.7276,32.09,32.03,8.545,480,660
4670,2019_04_10 18:16:14,1.8437,-1.6475,8.1199,32.11,32.09,8.35,540,720
4671,2019_04_10 18:16:15,0.5099,-0.7061,8.316,32.13,32.03,7.373,480,720
4672,2019_04_10 18:16:16,0.863,-0.9807,8.5906,32.11,32.03,7.959,540,660
4673,2019_04_10 18:16:17,1.6475,-2.4713,8.5122,32.13,32.03,7.227,540,720
4674,2019_04_10 18:16:18,-0.863,-0.5492,7.4923,32.11,31.99,7.52,480,660
4675,2019_04_10 18:16:19,1.4122,-3.5304,7.8061,32.11,32.03,7.91,540,690
4676,2019_04_10 18:16:20,3.0989,-2.2751,8.4729,32.11,32.05,7.764,480,690
4677,2019_04_10 18:16:21,3.4519,-0.353,8.4337,32.11,32.05,8.252,540,660
4678,2019_04_10 18:16:22,0.4315,-1.1768,8.2768,32.11,31.99,7.715,480,720
4679,2019_04_10 18:16:23,0.5884,-1.8829,8.1591,32.11,31.97,7.129,540,660
4680,2019_04_10 18:16:24,-1.1768,-3.2166,7.1785,32.11,32.03,7.715,480,690
4681,2019_04_10 18:16:25,2.3928,0.5099,7.7276,32.11,31.97,7.861,480,690
4682,2019_04_10 18:16:26,2.1575,0.9414,7.8845,32.11,32.05,7.227,540,660
4683,2019_04_10 18:16:27,1.2945,0.1177,8.0415,32.11,32.11,7.617,480,690
4684,2019_04_10 18:16:28,-0.3138,-1.4122,7.6884,32.09,32.03,8.154,540,690
4685,2019_04_10 18:16:29,-0.4315,-2.3144,7.4531,32.09,32.05,7.373,480,660
4686,2019_04_10 18:16:30,0.7453,-0.7453,7.963,32.09,31.97,8.545,540,660
4687,2019_04_10 18:16:31,2.8243,0.9807,8.3945,32.11,31.99,7.959,540,780
4688,2019_04_10 18:16:32,4.2365,0.9414,8.5514,32.05,31.99,7.715,540,720
4689,2019_04_10 18:16:33,2.7851,-1.8829,8.1984,32.11,32.03,7.52,540,780
4690,2019_04_10 18:16:34,3.0989,-0.5099,8.1591,32.09,32.03,7.52,600,720
4691,2019_04_10 18:16:35,2.8243,-0.3923,8.316,32.09,31.99,8.105,540,780
4692,2019_04_10 18:16:36,2.942,-1.9221,8.316,32.11,31.99,8.301,540,720
4693,2019_04_10 18:16:37,2.8243,0.1177,8.5514,32.09,31.99,7.422,540,780
4694,2019_04_10 18:16:38,1.5691,-2.6674,8.0022,32.09,31.95,8.398,600,720
4695,2019_04_10 18:16:39,1.4122,-1.4514,8.0022,32.03,31.95,8.545,540,780
4696,2019_04_10 18:16:40,-0.0785,-3.7658,7.6492,32.05,32.03,7.666,540,720
4697,2019_04_10 18:16:41,-0.0392,0.4707,8.316,32.09,31.99,7.813,540,750
4698,2019_04_10 18:16:42,1.0983,-2.1182,8.1984,32.05,31.99,8.105,600,750
4699,2019_04_10 18:16:43,0.9414,-1.1768,7.8845,32.05,32.09,7.764,540,780
4700,2019_04_10 18:16:44,2.432,-1.0983,7.8845,32.09,32.03,7.471,600,780
4701,2019_04_10 18:16:45,1.2553,-2.432,7.7669,32.05,32.03,8.594,600,780
4702,2019_04_10 18:16:46,-0.2746,-0.9807,7.7669,32.11,32.09,8.74,540,780
4703,2019_04_10 18:16:47,2.2751,-0.9807,8.3945,32.05,32.09,7.764,600,780
4704,2019_04_10 18:16:48,1.7652,-1.2553,8.7083,32.05,32.03,7.373,600,780
4705,2019_04_10 18:16:49,2.2751,-0.1177,8.4729,32.05,32.03,8.594,540,780
4706,2019_04_10 18:16:50,2.2359,-1.8044,8.1984,32.11,32.05,7.422,600,780
4707,2019_04_10 18:16:51,3.4127,0.1961,8.7083,32.09,32.03,7.471,600,780
