RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM,,
385,2019_04_08 15:35:32,-0.5492,-4.0011,7.2569,31.75,32.05,8.154,780,780,,
386,2019_04_08 15:35:33,2.5497,0.2354,7.963,31.75,32.03,7.666,720,720,,
387,2019_04_08 15:35:34,0.1569,-1.5298,8.0022,31.75,32.09,8.105,720,780,,
388,2019_04_08 15:35:35,2.5497,-2.0398,7.4531,31.71,32.05,7.031,780,750,,
389,2019_04_08 15:35:36,0.5099,-2.1967,7.8845,31.75,32.09,6.982,720,750,,
390,2019_04_08 15:35:37,0.9022,-0.3923,7.4923,31.75,31.99,7.568,750,780,,
391,2019_04_08 15:35:38,0.7845,0.0392,7.963,31.77,32.11,7.568,750,720,,
392,2019_04_08 15:35:39,1.0591,-1.1376,7.5315,31.75,32.09,7.813,720,780,,
393,2019_04_08 15:35:40,-1.726,-1.9613,8.9044,31.73,32.11,7.275,750,720,,
394,2019_04_08 15:35:41,0.5492,-2.8635,7.7276,31.73,32.05,8.105,750,780,,
395,2019_04_08 15:35:42,-0.3138,-1.7652,7.4531,31.73,32.09,7.275,720,750,,
396,2019_04_08 15:35:43,-1.216,-2.1967,8.1199,31.77,32.17,7.422,720,750,,
397,2019_04_08 15:35:44,2.1575,-0.863,8.6691,31.73,32.11,6.885,780,750,,
398,2019_04_08 15:35:45,0.2746,-0.353,8.0415,31.77,32.21,8.008,720,750,,
399,2019_04_08 15:35:46,2.0006,-0.3138,8.3553,31.77,32.11,7.813,720,720,,
400,2019_04_08 15:35:47,2.3536,-1.1768,8.2376,31.77,32.17,7.227,720,780,,
401,2019_04_08 15:35:48,1.216,-1.2945,8.3553,31.77,32.17,7.275,750,720,,
402,2019_04_08 15:35:49,0,-2.2751,7.9238,31.77,32.21,7.617,750,780,,
